"State","Constituency","Candidates__Name","Candidates__Party","Candidates__EVM Votes","Candidates__Postal Votes","Candidates__Total Votes","Candidates__% of Votes","Total EVM Votes","Total Postal Votes","Total Votes","Winning Candidate","Winning Party"
"","","FAIZAL MADAYI","Welfare Party Of India","1141","28","1169","0.8","","","","",""
"","","BRIJESHKUMAR M.  S/o AMBU","Independent","272","2","274","0.19","","","","",""
"","","NOTA","None of the Above","647","19","666","0.46","","","","",""
"Kerala","Kalpetta","ASWIN BHIMNATH","Bahujan Samaj Party","915","13","928","0.61","149111","3098","152209","Adv.T SIDDIQU","Indian National Congress"
"","","Adv.T SIDDIQU","Indian National Congress","68845","1407","70252","46.15","","","","",""
"","","SUBEESH T M","Bharatiya Janata Party","13868","245","14113","9.27","","","","",""
"","","M.V.SHREYAMSKUMAR","Loktantrik Janta Dal","63392","1390","64782","42.56","","","","",""
"","","SUNIL VAIDYAR","Anna Democratic Human Rights Movement Party of India","444","11","455","0.3","","","","",""
"","","SHYLESH.K","Independent","204","6","210","0.14","","","","",""
"","","T.SIDIQUE S/o ABDULLA","Independent","634","7","641","0.42","","","","",""
"","","NOTA","None of the Above","809","19","828","0.54","","","","",""
"Kerala","Kanhangad","E CHANDRASHEKARAN","Communist Party of India","82189","2426","84615","50.72","162510","4325","166835","E CHANDRASHEKARAN","Communist Party of India"
"","","BALRAJ","Bharatiya Janata Party","21119","451","21570","12.93","","","","",""
"","","P V SURESH","Indian National Congress","56112","1364","57476","34.45","","","","",""
"","","ABDUL SAMAD. T S/o T KUNHAMU HAJI","SOCIAL DEMOCRATIC PARTY OF INDIA","774","1","775","0.46","","","","",""
"","","T ABDUL SAMAD S/o T KUNHIKOYA HAJI","Janata Dal  (United)","86","1","87","0.05","","","","",""
"","","RESHMA KARIVEDAKAM","Anna Democratic Human Rights Movement Party of India","181","4","185","0.11","","","","",""
"","","AUGUSTIN","Independent","495","37","532","0.32","","","","",""
"","","KRISHNAN PARAPPACHAL","Independent","347","10","357","0.21","","","","",""
"","","MANOJ THOMAS","Independent","93","12","105","0.06","","","","",""
"","","SREENATH SASI. T C V","Independent","218","1","219","0.13","","","","",""
"","","SURESH. B C S/o CHENIYAN NAIK","Independent","276","1","277","0.17","","","","",""
"","","NOTA","None of the Above","620","17","637","0.38","","","","",""
"Kerala","Kanjirappally","ALPHONS KANNANTHANAM","Bharatiya Janata Party","28568","589","29157","21.17","134649","3054","137703","Dr.N.JAYARAJ","Kerala Congress  (M)"
"","","ASHIK M M","Bahujan Samaj Party","720","7","727","0.53","","","","",""
"","","Dr.N.JAYARAJ","Kerala Congress  (M)","59151","1148","60299","43.79","","","","",""
"","","JOSEPH VAZHACKAN","Indian National Congress","45296","1300","46596","33.84","","","","",""
"","","MAYAMOL K P","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","292","8","300","0.22","","","","",""
"","","NOTA","None of the Above","622","2","624","0.45","","","","",""
"Kerala","Kannur","ARCHANA VANDICHAL","Bharatiya Janata Party","11340","241","11581","8.64","130366","3723","134089","RAMACHANDRAN KADANNAPPALLI","Congress  (Secular)"
"","","SATHEESHAN PACHENI","Indian National Congress","56953","1615","58568","43.68","","","","",""
"","","T K GANESH BABU","New Labour Party","709","7","716","0.53","","","","",""
"","","RAMACHANDRAN KADANNAPPALLI","Congress  (Secular)","58505","1808","60313","44.98","","","","",""
"","","B SHAMSUDHEEN MOULAVI","SOCIAL DEMOCRATIC PARTY OF INDIA","2061","8","2069","1.54","","","","",""
"","","RAMACHANDRAN P V","Independent","106","1","107","0.08","","","","",""
"","","SATHEESAN P","Independent","134","13","147","0.11","","","","",""
"","","N K SURENDRAN","Independent","83","1","84","0.06","","","","",""
"","","NOTA","None of the Above","475","29","504","0.38","","","","",""
"Kerala","Karunagappally","Bitty Sudheer","Bharatiya Janata Party","11847","297","12144","7.01","168376","4908","173284","C. R Mahesh","Indian National Congress"
"","","C. R Mahesh","Indian National Congress","91849","2376","94225","54.38","","","","",""
"","","R. Ramachandran","Communist Party of India","62810","2207","65017","37.52","","","","",""
"","","Bhargavan S","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","275","8","283","0.16","","","","",""
"","","Madhu","Anna Democratic Human Rights Movement Party of India","126","2","128","0.07","","","","",""
"","","Adv. Sumayya Najeeb","SOCIAL DEMOCRATIC PARTY OF INDIA","1030","7","1037","0.6","","","","",""
"","","NOTA","None of the Above","439","11","450","0.26","","","","",""
"Kerala","Kasaragod","N A NELLIKKUNNU","Indian Union Muslim League","62824","472","63296","43.8","143031","1469","144500","N A NELLIKKUNNU","Indian Union Muslim League"
"","","VIJAYA K P","Bahujan Samaj Party","664","15","679","0.47","","","","",""
"","","ADV K SHREEKANTH","Bharatiya Janata Party","49737","658","50395","34.88","","","","",""
"","","RANJITH RAJ M","Anna Democratic Human Rights Movement Party of India","545","10","555","0.38","","","","",""
"","","M A LATHEEF","Indian National League","28028","295","28323","19.6","","","","",""
"","","NISHANTH KUMAR I B","Independent","412","5","417","0.29","","","","",""
"","","SUDHAKARAN K","Independent","192","4","196","0.14","","","","",""
"","","NOTA","None of the Above","629","10","639","0.44","","","","",""
"Kerala","Kattakkada","P.K KRISHNADAS","Bharatiya Janata Party","33755","787","34542","23.72","141328","4291","145619","Adv I B SATHEESH","Communist Party of India  (Marxist)"
"","","MALAYINKEEZHU VENUGOPAL","Indian National Congress","41723","1339","43062","29.57","","","","",""
"","","Adv I B SATHEESH","Communist Party of India  (Marxist)","64159","2134","66293","45.52","","","","",""
"","","KANDALA SURESH","Bahujan Samaj Party","623","5","628","0.43","","","","",""
"","","SREEKALA NADAR","Independent","256","10","266","0.18","","","","",""
"","","SYRIAC DAMIAN V. P","Independent","126","3","129","0.09","","","","",""
"","","NOTA","None of the Above","686","13","699","0.48","","","","",""
"Kerala","Kayamkulam","Aritha Babu","Indian National Congress","69044","2006","71050","44.06","156701","4556","161257","Adv. U. Prathibha","Communist Party of India  (Marxist)"
"","","Adv. U. Prathibha","Communist Party of India  (Marxist)","75173","2175","77348","47.97","","","","",""
"","","Pradeeplal","Bharath Dharma Jana Sena","11087","326","11413","7.08","","","","",""
"","","Myna  Gopinath","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","145","5","150","0.09","","","","",""
"","","Geevarghese Samuel","Independent","201","4","205","0.13","","","","",""
"","","Maniyappan Achari","Independent","354","13","367","0.23","","","","",""
"","","Rajeev R","Independent","216","15","231","0.14","","","","",""
"","","Sathyanarayanan S","Independent","67","6","73","0.05","","","","",""
"","","NOTA","None of the Above","414","6","420","0.26","","","","",""
"Kerala","Kazhakkoottam","Kadakampally Surendran","Communist Party of India  (Marxist)","62176","1514","63690","46.04","135293","3032","138325","Kadakampally Surendran","Communist Party of India  (Marxist)"
"","","Kochumani","Bahujan Samaj Party","370","7","377","0.27","","","","",""
"","","Dr. S. S. Lal","Indian National Congress","32198","797","32995","23.85","","","","",""
"","","Sobha Surendran","Bharatiya Janata Party","39504","689","40193","29.06","","","","",""
"","","Lalumon","Independent","111","1","112","0.08","","","","",""
"","","V. Sasikumaran Nair","Independent","123","6","129","0.09","","","","",""
"","","Syamlal","Independent","85","0","85","0.06","","","","",""
"","","Adv. Sen A. G.","Independent","71","5","76","0.05","","","","",""
"","","NOTA","None of the Above","655","13","668","0.48","","","","",""
"Kerala","Kochi","TONY CHAMMANY","Indian National Congress","39865","688","40553","31.51","126999","1704","128703","K.J. MAXY","Communist Party of India  (Marxist)"
"","","K.J. MAXY","Communist Party of India  (Marxist)","53973","659","54632","42.45","","","","",""
"","","C.G.RAJAGOPAL","Bharatiya Janata Party","10800","191","10991","8.54","","","","",""
"","","SHINY ANTONY","Twenty 20 Party","19550","126","19676","15.29","","","","",""
"","","Nipun Cherian","Independent","2123","26","2149","1.67","","","","",""
"","","RAJANEESH BABU","Independent","224","4","228","0.18","","","","",""
"","","NOTA","None of the Above","464","10","474","0.37","","","","",""
"Kerala","Kodungallur","M. P. JACKSON","Indian National Congress","46017","1547","47564","31.94","144695","4207","148902","Adv. V. R. SUNILKUMAR","Communist Party of India"
"","","REMYA MOHANAN","Bahujan Samaj Party","342","24","366","0.25","","","","",""
"","","SANTHOSH CHERAKKULAM","Bharatiya Janata Party","27600","604","28204","18.94","","","","",""
"","","Adv. V. R. SUNILKUMAR","Communist Party of India","69447","2010","71457","47.99","","","","",""
"","","O. M. SREEJA","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","262","8","270","0.18","","","","",""
"","","RAJAN PAINAT","Independent","162","9","171","0.11","","","","",""
"","","NOTA","None of the Above","865","5","870","0.58","","","","",""
"Kerala","Koduvally","T BALASOMAN","Bharatiya Janata Party","9227","271","9498","6.28","146783","4371","151154","DR. M.K MUNEER","Indian Union Muslim League"
"","","DR. M.K MUNEER","Indian Union Muslim League","70193","2143","72336","47.86","","","","",""
"","","MUSTHAFA KOMMERI","SOCIAL DEMOCRATIC PARTY OF INDIA","1734","35","1769","1.17","","","","",""
"","","SHAHIN K C","Samajwadi Forward Bloc","69","5","74","0.05","","","","",""
"","","ABDUL MUNEER","Independent","86","0","86","0.06","","","","",""
"","","SALEEM NECHOLE","Independent","91","1","92","0.06","","","","",""
"","","ABDUL RAZAK K S/O AHMAD KUTTY","Independent","379","2","381","0.25","","","","",""
"","","KARAT RAZACK","Independent","64114","1878","65992","43.66","","","","",""
"","","ABDUL RAZAK  S/O  MUHAMMED","Independent","316","9","325","0.22","","","","",""
"","","MUNEER  M.K  S/O  MUHAMMED","Independent","207","21","228","0.15","","","","",""
"","","LAKSHMANAN.K.P.THAMARASSERY","Independent","102","2","104","0.07","","","","",""
"","","NOTA","None of the Above","265","4","269","0.18","","","","",""
"Kerala","Kollam","Adv. BINDHU KRISHNA","Indian National Congress","55035","1417","56452","43.27","127155","3296","130451","M Mukesh","Communist Party of India  (Marxist)"
"","","M Mukesh","Communist Party of India  (Marxist)","56898","1626","58524","44.86","","","","",""
"","","REMANAN","Bahujan Samaj Party","282","8","290","0.22","","","","",""
"","","Sunil M","Bharatiya Janata Party","14029","223","14252","10.93","","","","",""
"","","BABY S","Anna Democratic Human Rights Movement Party of India","178","5","183","0.14","","","","",""
"","","NOTA","None of the Above","733","17","750","0.57","","","","",""
"Kerala","Kondotty","T V IBRAHIM","Indian Union Muslim League","81259","1500","82759","50.42","161251","2894","164145","T V IBRAHIM","Indian Union Muslim League"
"","","SIVADASAN T","Bahujan Samaj Party","893","15","908","0.55","","","","",""
"","","SHEEBA UNNIKRISHNAN","Bharatiya Janata Party","10904","210","11114","6.77","","","","",""
"","","Razak PALERI","Welfare Party Of India","2505","74","2579","1.57","","","","",""
"","","C V IBRAHIM S/o MUHAMMED","Independent","230","3","233","0.14","","","","",""
"","","KATTUPARUTHY SULAIMAN HAJI","Independent","64015","1078","65093","39.66","","","","",""
"","","SULAIMAN HAJI","Independent","893","12","905","0.55","","","","",""
"","","NOTA","None of the Above","552","2","554","0.34","","","","",""
"Kerala","Kongad","Guruvayoorappan P E","Bahujan Samaj Party","1321","30","1351","0.98","136205","2303","138508","Santhakumari K","Communist Party of India  (Marxist)"
"","","U C Raman","Indian Union Muslim League","40046","616","40662","29.36","","","","",""
"","","Santhakumari K","Communist Party of India  (Marxist)","66683","1198","67881","49.01","","","","",""
"","","Suresh Babu M","Bharatiya Janata Party","27223","438","27661","19.97","","","","",""
"","","NOTA","None of the Above","932","21","953","0.69","","","","",""
"Kerala","Konni","Adv. K.U JENISH KUMAR","Communist Party of India  (Marxist)","60166","2152","62318","41.62","144793","4929","149722","Adv. K.U JENISH KUMAR","Communist Party of India  (Marxist)"
"","","K. SURENDRAN","Bharatiya Janata Party","31994","817","32811","21.91","","","","",""
"","","ROBIN PETER","Indian National Congress","51859","1951","53810","35.94","","","","",""
"","","RAGHU P","Anna Democratic Human Rights Movement Party of India","212","2","214","0.14","","","","",""
"","","SUKU BALAN","Ambedkarite Party of India","120","2","122","0.08","","","","",""
"","","MANOHARAN","Independent","72","3","75","0.05","","","","",""
"","","NOTA","None of the Above","370","2","372","0.25","","","","",""
"Kerala","Kothamangalam","ANTONY JOHN","Communist Party of India  (Marxist)","62425","1809","64234","46.99","132748","3949","136697","ANTONY JOHN","Communist Party of India  (Marxist)"
"","","Dr. JOE JOSEPH","Twenty 20 Party","7795","183","7978","5.84","","","","",""
"","","T.M. MOOSA","SOCIAL DEMOCRATIC PARTY OF INDIA","1273","13","1286","0.94","","","","",""
"","","Shibu Thekkumpuram","Kerala Congress","55868","1761","57629","42.16","","","","",""
"","","SHINE  K KRISHNAN","Bharath Dharma Jana Sena","4532","106","4638","3.39","","","","",""
"","","ANTO JOHNY","Independent","121","15","136","0.1","","","","",""
"","","SHIBU","Independent","101","5","106","0.08","","","","",""
"","","Shibu Thekkan","Independent","261","15","276","0.2","","","","",""
"","","NOTA","None of the Above","372","42","414","0.3","","","","",""
"Kerala","Kottakkal","PROF. ABID HUSSAIN THANGAL","Indian Union Muslim League","80061","1639","81700","51.08","156638","3295","159933","PROF. ABID HUSSAIN THANGAL","Indian Union Muslim League"
"","","P. P. GANESAN","Bharatiya Janata Party","10556","240","10796","6.75","","","","",""
"","","N. A. MUHAMMED KUTTY (MAMMUTY)","Nationalist Congress Party","63739","1373","65112","40.71","","","","",""
"","","AYISHA","Independent","319","9","328","0.21","","","","",""
"","","BINDHU DEVARAJAN","Independent","477","4","481","0.3","","","","",""
"","","MOHAMED KUTTY","Independent","662","13","675","0.42","","","","",""
"","","SAINUL ABID THANGAL","Independent","160","13","173","0.11","","","","",""
"","","NOTA","None of the Above","664","4","668","0.42","","","","",""
"Kerala","Kottarakkara","K N BALAGOPAL","Communist Party of India  (Marxist)","66612","2158","68770","45.98","145013","4539","149552","K N BALAGOPAL","Communist Party of India  (Marxist)"
"","","R RESMI","Indian National Congress","56127","1829","57956","38.75","","","","",""
"","","Adv. VAYAKKAL SOMAN","Bharatiya Janata Party","20710","513","21223","14.19","","","","",""
"","","USHA KOTTARAKKARA","Anna Democratic Human Rights Movement Party of India","453","7","460","0.31","","","","",""
"","","E. KUNJUMON","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","83","4","87","0.06","","","","",""
"","","JAINEENDRAN T","Shiv Sena","57","0","57","0.04","","","","",""
"","","V VENUGOPAL","Democratic Social Justice Party","86","10","96","0.06","","","","",""
"","","EYYAMKODU MANIKUTTAN","Independent","81","9","90","0.06","","","","",""
"","","MATHEWS K LUKOSE","Independent","133","3","136","0.09","","","","",""
"","","LAL VISWAN","Independent","103","0","103","0.07","","","","",""
"","","NOTA","None of the Above","568","6","574","0.38","","","","",""
"Kerala","Kottayam","Adv.K.ANILKUMAR","Communist Party of India  (Marxist)","45974","684","46658","38.33","119837","1901","121738","THIRUVANCHOOR RADHAKRISHNAN","Indian National Congress"
"","","THIRUVANCHOOR RADHAKRISHNAN","Indian National Congress","64309","1092","65401","53.72","","","","",""
"","","MINERVA MOHAN","Bharatiya Janata Party","8501","110","8611","7.07","","","","",""
"","","SREEKUMAR CHAKKALA","Bahujan Samaj Party","372","2","374","0.31","","","","",""
"","","ARUN MANGATTU","Akhil Bharat Hindu Mahasabha","75","2","77","0.06","","","","",""
"","","M.K.SHAHAZAD","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","138","6","144","0.12","","","","",""
"","","NOTA","None of the Above","468","5","473","0.39","","","","",""
"Kerala","Kovalam","VISHNUPURAM CHANDRASEKHARAN","Bharatiya Janata Party","18267","397","18664","11.73","154729","4371","159100","Adv. M. VINCENT","Indian National Congress"
"","","NEELALOHITHADASAN NADAR","Janata Dal  (Secular)","61582","1724","63306","39.79","","","","",""
"","","Adv. M. VINCENT","Indian National Congress","72676","2192","74868","47.06","","","","",""
"","","KANCHAMPAZHINJI SASIKUMAR","Bahujan Samaj Party","635","6","641","0.4","","","","",""
"","","AJIL R.A.","Independent","141","6","147","0.09","","","","",""
"","","VENGANOOR ASOKAN","Independent","268","16","284","0.18","","","","",""
"","","PRINCE V.S.","Independent","402","15","417","0.26","","","","",""
"","","NOTA","None of the Above","758","15","773","0.49","","","","",""
"Kerala","Kozhikode North","K M ABHIJITH","Indian National Congress","44759","1437","46196","33.58","133603","3959","137562","Thottathil Ravindran","Communist Party of India  (Marxist)"
"","","M T RAMESH","Bharatiya Janata Party","30241","711","30952","22.5","","","","",""
"","","Thottathil Ravindran","Communist Party of India  (Marxist)","57357","1767","59124","42.98","","","","",""
"","","K RAHIM","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","152","4","156","0.11","","","","",""
"","","N ABHIJITH","Independent","328","0","328","0.24","","","","",""
"","","V P RAMESH","Independent","84","12","96","0.07","","","","",""
"","","A RAMESH","Independent","94","10","104","0.08","","","","",""
"","","URANDIYIL RAVEENDRAN","Independent","75","15","90","0.07","","","","",""
"","","NOTA","None of the Above","513","3","516","0.38","","","","",""
"Kerala","Kozhikode South","NAVYA HARIDAS","Bharatiya Janata Party","24314","559","24873","20.89","116769","2285","119054","AHAMMAD DEVARKOVIL","Indian National League"
"","","ADV. NOORBEENA RASHEED","Indian Union Muslim League","39393","705","40098","33.68","","","","",""
"","","AHAMMAD DEVARKOVIL","Indian National League","51582","975","52557","44.15","","","","",""
"","","P. HAREENDRANATH","Democratic Social Justice Party","392","18","410","0.34","","","","",""
"","","ADV. MUBEENA","Independent","503","10","513","0.43","","","","",""
"","","NOTA","None of the Above","585","18","603","0.51","","","","",""
"Kerala","Kundara","J.Mercykutty Amma","Communist Party of India  (Marxist)","69906","1976","71882","45.96","152518","3883","156401","P.C.Vishnunadh","Indian National Congress"
"","","P.C.Vishnunadh","Indian National Congress","74664","1741","76405","48.85","","","","",""
"","","R.Rahul","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","444","13","457","0.29","","","","",""
"","","Vanaja Vidyadharan","Bharath Dharma Jana Sena","5983","117","6100","3.9","","","","",""
"","","Vinod Bahuleyan","Rashtriya Janata Dal","169","3","172","0.11","","","","",""
"","","Shiju M Varghese","Democratic Social Justice Party","181","5","186","0.12","","","","",""
"","","Sibu Karamcodu","Anna Democratic Human Rights Movement Party of India","227","2","229","0.15","","","","",""
"","","Santhosh Adooran","Independent","252","8","260","0.17","","","","",""
"","","NOTA","None of the Above","692","18","710","0.45","","","","",""
"Kerala","Kunnamangalam","ADV: V.K. SAJEEVAN","Bharatiya Janata Party","27048","624","27672","14.28","188541","5281","193822","ADV. P. T. A RAHIM","Independent"
"","","E. P. ANWAR SADATH","Welfare Party Of India","1026","31","1057","0.55","","","","",""
"","","ABDUL VAHID","SOCIAL DEMOCRATIC PARTY OF INDIA","1276","23","1299","0.67","","","","",""
"","","ABDUL RAHEEM P S/o. ABDUL KAREEM","Independent","210","12","222","0.11","","","","",""
"","","ABDUL RAHEEM S/o. HASSAN KOYA","Independent","725","13","738","0.38","","","","",""
"","","DINESH PERUMANNA","Independent","72998","1864","74862","38.62","","","","",""
"","","DINESHAN PAKKATH","Independent","972","49","1021","0.53","","","","",""
"","","DINESAN MUNDAKKAL","Independent","222","3","225","0.12","","","","",""
"","","BABU K G","Independent","715","9","724","0.37","","","","",""
"","","ADV. P. T. A RAHIM","Independent","82498","2640","85138","43.93","","","","",""
"","","NOTA","None of the Above","851","13","864","0.45","","","","",""
"Kerala","Kunnamkulam","Adv. K.K.ANEESHKUMAR","Bharatiya Janata Party","27479","354","27833","17.98","151452","3379","154831","A.C.MOIDEEN","Communist Party of India  (Marxist)"
"","","K.JAYASANKAR","Indian National Congress","47478","1423","48901","31.58","","","","",""
"","","A.C.MOIDEEN","Communist Party of India  (Marxist)","73979","1553","75532","48.78","","","","",""
"","","V.S.ABOOBACKER","SOCIAL DEMOCRATIC PARTY OF INDIA","1229","12","1241","0.8","","","","",""
"","","JAMES PANADAN","Independent","258","7","265","0.17","","","","",""
"","","MOIDEEN.K.M s/o MUHAMMED","Independent","365","15","380","0.25","","","","",""
"","","A.K.MOIDHEENKUTTY","Independent","110","10","120","0.08","","","","",""
"","","NOTA","None of the Above","554","5","559","0.36","","","","",""
"Kerala","Kunnathunad","MANIKUTTAN.A.T","Bahujan Samaj Party","197","8","205","0.13","151540","3384","154924","ADV. P.V.SREENIJIN","Communist Party of India  (Marxist)"
"","","RENU SURESH","Bharatiya Janata Party","7056","162","7218","4.66","","","","",""
"","","ADV. P.V.SREENIJIN","Communist Party of India  (Marxist)","51180","1171","52351","33.79","","","","",""
"","","V.P.SAJEENDRAN","Indian National Congress","48463","1173","49636","32.04","","","","",""
"","","KRISHNAN ERANHIKAL","SOCIAL DEMOCRATIC PARTY OF INDIA","1289","5","1294","0.84","","","","",""
"","","DR. SUJITH.P.SURENDRAN","Twenty 20 Party","41890","811","42701","27.56","","","","",""
"","","VELAYUDHAN.V.K","Independent","165","3","168","0.11","","","","",""
"","","SUJITH.K.SURENDRAN","Independent","761","25","786","0.51","","","","",""
"","","NOTA","None of the Above","539","26","565","0.36","","","","",""
"Kerala","Kunnathur","R.S. ANJU","Bahujan Samaj Party","920","26","946","0.59","155299","5685","160984","KOVOOR KUNJUMON","Independent"
"","","ULLAS KOVOOR","Revolutionary Socialist Party","64326","2320","66646","41.4","","","","",""
"","","RAJIPRASAD","Bharatiya Janata Party","21121","639","21760","13.52","","","","",""
"","","R. SUKUMARAN","Anna Democratic Human Rights Movement Party of India","319","7","326","0.2","","","","",""
"","","ARUNKUMAR S ULIYACOVIL","Independent","310","15","325","0.2","","","","",""
"","","KOVOOR KUNJUMON","Independent","66807","2629","69436","43.13","","","","",""
"","","MANTHARA VELAYUDHAN","Independent","612","11","623","0.39","","","","",""
"","","NOTA","None of the Above","884","38","922","0.57","","","","",""
"Kerala","Kuthuparamba","POTTANKANDI ABDULLA","Indian Union Muslim League","59720","1365","61085","39.23","151704","4005","155709","K.P. MOHANAN","Loktantrik Janta Dal"
"","","C. SADANANDAN MASTER","Bharatiya Janata Party","20795","417","21212","13.62","","","","",""
"","","K.P. MOHANAN","Loktantrik Janta Dal","68472","2154","70626","45.36","","","","",""
"","","ABDULLA PUTHIYAPARAMBATH","Independent","379","10","389","0.25","","","","",""
"","","MOHANAN KUNHIPARAMBATH MEETHAL","Independent","1334","26","1360","0.87","","","","",""
"","","MOHANAN K.P. KAITHAVECHA PARAMBATH","Independent","515","28","543","0.35","","","","",""
"","","NOTA","None of the Above","489","5","494","0.32","","","","",""
"Kerala","Kuttanad","THOMAS K THOMAS","Nationalist Congress Party","55532","1847","57379","45.67","121355","4281","125636","THOMAS K THOMAS","Nationalist Congress Party"
"","","Adv. JACOB ABRAHAM","Kerala Congress","49876","1987","51863","41.28","","","","",""
"","","THAMPI METTUTHARA","Bharath Dharma Jana Sena","14551","395","14946","11.9","","","","",""
"","","BIJU XAVIER","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","369","23","392","0.31","","","","",""
"","","Dr. VINU","Democratic Social Justice Party","514","19","533","0.42","","","","",""
"","","NOTA","None of the Above","513","10","523","0.42","","","","",""
"Kerala","Kuttiadi","K P KUNHAMMED KUTTI MASTER","Communist Party of India  (Marxist)","77265","2878","80143","47.2","164400","5379","169779","K P KUNHAMMED KUTTI MASTER","Communist Party of India  (Marxist)"
"","","PARAKKAL ABDULLA","Indian Union Muslim League","77561","2249","79810","47.01","","","","",""
"","","P P MURALI MASTER","Bharatiya Janata Party","8919","220","9139","5.38","","","","",""
"","","ABDULLA S/o POKKER","Independent","75","0","75","0.04","","","","",""
"","","K K KUNHAMMAD KUTTY","Independent","70","10","80","0.05","","","","",""
"","","V P PRATHEESH","Independent","103","5","108","0.06","","","","",""
"","","SURESH BABU M K","Independent","125","3","128","0.08","","","","",""
"","","NOTA","None of the Above","282","14","296","0.17","","","","",""
"Kerala","Malampuzha","S. K. Ananthakrishnan","Indian National Congress","34611","833","35444","21.66","160011","3594","163605","A. PRABHAKARAN","Communist Party of India  (Marxist)"
"","","KRISHNAKUMAR.C","Bharatiya Janata Party","49301","899","50200","30.68","","","","",""
"","","A. PRABHAKARAN","Communist Party of India  (Marxist)","74096","1838","75934","46.41","","","","",""
"","","K.PRASAD","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","550","5","555","0.34","","","","",""
"","","ABDUL RAHEEM. S","Independent","412","6","418","0.26","","","","",""
"","","NOTA","None of the Above","1041","13","1054","0.64","","","","",""
"Kerala","Malappuram","PALOLI ABDURAHIMAN","Communist Party of India  (Marxist)","56814","1144","57958","35.82","158740","3085","161825","P. UBAIDULLA","Indian Union Muslim League"
"","","P. UBAIDULLA","Indian Union Muslim League","91470","1696","93166","57.57","","","","",""
"","","PRASOBH .T","Bahujan Samaj Party","319","2","321","0.2","","","","",""
"","","AREEKKAD SETHUMADHAVAN","Bharatiya Janata Party","5755","128","5883","3.64","","","","",""
"","","E.C. AYISHA","Welfare Party Of India","3090","104","3194","1.97","","","","",""
"","","T.K. BOSE","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","309","0","309","0.19","","","","",""
"","","NOTA","None of the Above","983","11","994","0.61","","","","",""
"Kerala","Manalur","ABHAYAN.N.A","Bahujan Samaj Party","449","23","472","0.28","162972","4530","167502","MURALI","Communist Party of India  (Marxist)"
"","","MURALI","Communist Party of India  (Marxist)","76339","1998","78337","46.77","","","","",""
"","","RADHAKRISHNAN","Bharatiya Janata Party","35951","615","36566","21.83","","","","",""
"","","VIJAY HARI","Indian National Congress","46607","1854","48461","28.93","","","","",""
"","","FAISAL","SOCIAL DEMOCRATIC PARTY OF INDIA","2266","28","2294","1.37","","","","",""
"","","M K DEVARAJAN","Independent","648","12","660","0.39","","","","",""
"","","NOTA","None of the Above","712","0","712","0.43","","","","",""
"Kerala","Mananthavady","O.R.KELU","Communist Party of India  (Marxist)","70807","1729","72536","47.54","149053","3528","152581","O.R.KELU","Communist Party of India  (Marxist)"
"","","P.K.Jayalakshmi","Indian National Congress","61741","1513","63254","41.46","","","","",""
"","","Palliyara Mukundan","Bharatiya Janata Party","12911","231","13142","8.61","","","","",""
"","","Vijaya Cheloor","Bahujan Samaj Party","188","2","190","0.12","","","","",""
"","","Babitha Sreenu","SOCIAL DEMOCRATIC PARTY OF INDIA","1966","26","1992","1.31","","","","",""
"","","Kelu K.K. S/o Kunkan","Independent","274","14","288","0.19","","","","",""
"","","Lakshmi","Independent","374","8","382","0.25","","","","",""
"","","NOTA","None of the Above","792","5","797","0.52","","","","",""
"Kerala","Manjeri","NAZAR DEBONA","Communist Party of India","62881","1382","64263","40.93","153812","3180","156992","Adv. U.A. LATHEEF","Indian Union Muslim League"
"","","P.R. RASMIL NATH","Bharatiya Janata Party","11030","320","11350","7.23","","","","",""
"","","Adv. U.A. LATHEEF","Indian Union Muslim League","77384","1452","78836","50.22","","","","",""
"","","PALATHINGAL ABOOBACKER","Independent","1332","9","1341","0.85","","","","",""
"","","NOTA","None of the Above","1185","17","1202","0.77","","","","",""
"Kerala","Manjeshwar","A K M ASHRAF","Indian Union Muslim League","65190","568","65758","38.14","170301","2125","172426","A K M ASHRAF","Indian Union Muslim League"
"","","V V RAMESHAN","Communist Party of India  (Marxist)","40098","541","40639","23.57","","","","",""
"","","K SURENDRAN","Bharatiya Janata Party","64000","1013","65013","37.7","","","","",""
"","","PRAVEEN KUMAR S","Anna Democratic Human Rights Movement Party of India","250","1","251","0.15","","","","",""
"","","JOHN D SOUZA I","Independent","180","1","181","0.1","","","","",""
"","","SURENDRAN M S/o PADMAVATHI M","Independent","196","1","197","0.11","","","","",""
"","","NOTA","None of the Above","387","0","387","0.22","","","","",""
"Kerala","Mankada","MANJALAMKUZHI ALI","Indian Union Muslim League","81273","1958","83231","49.46","164441","3827","168268","MANJALAMKUZHI ALI","Indian Union Muslim League"
